Name,X,Y,Z
NT-MW42,488052,5148200,13.28
NT-MW40,488836,5148598,12.72
NT-BH04,488909,5148697,12.72
DAM_17,487861.566,5146464.055,12
DAM_18,487884.975,5146105.123,12
NT-BH02,488864,5148612,11.83
BRO_80,488692.474,5148729.655,11
BRO_81,488692.474,5148714.655,11
NT-BH01,488842,5148590,10.94
BRO_467,488467.474,5148564.655,10
BRO_27,488460.145,5148562.302,10
BRO_82,488707.474,5148714.655,10
BRO_79,488692.474,5148744.655,10
BRO_309,488797.474,5148894.655,10
BRO_485,488542.474,5148579.655,10
BRO_312,488797.474,5148879.655,10
BRO_310,488812.474,5148894.655,10
DAM_12,488554.558,5147651.065,10
CN-MW20A-4,485409,5147100,9.92
NT-BH05,488930,5148741,9.5
BRO_466,488452.474,5148534.655,9
BRO_50,488722.776,5148814.998,9
BRO_51,488728.363,5148820.276,9
BRO_288,488797.474,5148804.655,9
BRO_315,488782.474,5148864.655,9
BRO_52,488548.62,5148567.58,9
BRO_281,488797.474,5148819.655,9
BRO_471,488482.474,5148594.655,9
BRO_277,488797.474,5148834.655,9
BRO_283,488827.474,5148819.655,9
BRO_482,488587.474,5148609.655,9
BRO_77,488683.35,5148769.209,9
BRO_484,488572.474,5148594.655,9
BRO_289,488812.474,5148804.655,9
BRO_78,488677.474,5148759.655,9
BRO_316,488797.474,5148864.655,9
BRO_477,488587.474,5148639.655,9
BRO_483,488557.474,5148594.655,9
BRO_278,488812.474,5148834.655,9
BRO_308,488812.474,5148909.655,9
BRO_317,488812.474,5148864.655,9
BRO_481,488572.474,5148609.655,9
BRO_480,488587.474,5148624.655,9
BRO_486,488557.474,5148579.655,9
BRO_279,488827.474,5148834.655,9
BRO_479,488572.474,5148624.655,9
BRO_282,488812.474,5148819.655,9
BRO_313,488812.474,5148879.655,9
DAM_15,488119.06,5147220.932,9
NT-MW31-21,487347,5147544,8.56
NT-MW31-3,487346,5147543,8.55
NT-MW13-13,489022,5148756,8.32
BRO_55,488107.488,5148255.59,8
BRO_22,488724.949,5148279.494,8
BRO_19,488724.483,5148272.819,8
